Player,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
StevenSKwanKwanLF,CLE,427,1681,265,479,77,17,25,150,185,186.0,52,13,0.285,.359,0.396,.755
JoeJLampeLampeLF,CLE,3,5,2,1,0,0,1,1,0,1.0,0,0,0.2,0.2,0.8,1.0
JungHooJLeeLeeCF,SF,37,145,15,38,4,0,2,8,10,13.0,2,3,0.262,.310,0.331,.641
MarcoMLucianoLucianoLF,SF,4,9,2,2,0,0,1,1,1,2.0,0,0,0.222,0.3,0.556,0.856
MannyMMachadoMachadoB,SD,1735,6809,991,1900,363,18,342,1049,608,1302.0,99,38,0.279,.338,0.488,.826
VimaelVMachnMachnB,BAL,3,7,1,3,1,0,1,2,0,0.0,0,0,0.429,0.429,1.0,1.429
LukeLMaileMaileC,KC,440,1130,103,235,58,2,21,113,89,341.0,8,1,0.208,.274,0.319,.593
BenBMalgeriMalgeriCF,DET,2,6,1,5,1,0,1,7,0,1.0,1,0,0.833,0.833,1.5,2.333
KyleKManzardoManzardoB,CLE,53,145,11,34,12,0,5,15,9,41.0,0,0,0.234,.282,0.421,.703
OrelvisOMartinezMartinezB,TOR,1,3,0,1,0,0,0,0,0,1.0,0,0,0.333,.333,0.333,.666
ErnestoEMartinezJrMartinezB,MIL,2,7,1,1,0,0,1,2,0,4.0,0,0,0.143,0.143,0.571,0.714
GrantGMcCrayMcCrayCF,SF,37,124,13,25,3,2,5,10,6,56.0,5,0,0.202,.238,0.379,.617
MattMMervisMervisB,MIA,36,116,9,18,3,0,3,14,9,40.0,0,0,0.155,.222,0.259,.481
TylerTMillerMillerB,BOS,2,3,1,1,0,0,1,2,0,1.0,0,0,0.333,0.333,1.333,1.666
LazaroLMontesMontesRF,SEA,2,3,3,1,0,0,1,3,2,1.0,0,0,0.333,0.6,1.333,1.933
ColsonCMontgomeryMontgomerySS,CWS,3,7,1,1,0,0,1,2,0,4.0,0,0,0.143,0.143,0.571,0.714
MaxMMuncyMuncyB,LAD,920,2980,545,679,135,8,195,537,540,886.0,14,4,0.228,.352,0.475,.827
ChrisCOkeyOkeyX,LAD,5,7,1,3,1,0,1,3,1,1.0,0,0,0.429,0.556,1.0,1.556
JaredJOlivaOlivaRF,MIL,26,56,4,10,2,0,0,2,3,16.0,3,0,0.179,.220,0.214,.434
TirsoTOrnelasOrnelasX,SD,4,9,3,4,2,0,1,2,2,0.0,0,0,0.444,0.545,1.0,1.545
AbimelecAOrtizOrtizB,TEX,3,4,1,2,1,0,1,1,0,0.0,0,0,0.5,0.5,1.5,2.0
MarcellMOzunaOzunaDH,ATL,1469,5558,762,1514,261,21,275,880,510,1346.0,29,14,0.272,.334,0.475,.809
JocJPedersonPedersonB,TEX,2,4,2,1,0,0,1,3,1,1.0,0,0,0.25,0.4,1.0,1.4
GeraldoGPerdomoPerdomoSS,AZ,401,1206,195,284,54,9,14,125,156,253.0,34,7,0.235,.327,0.33,.657
EversonEPereiraPereiraDH,NYY,3,6,2,2,0,0,1,1,2,2.0,0,0,0.333,0.556,0.833,1.389
AndrewAPintarPintarCF,MIA,2,3,1,1,0,0,1,2,0,1.0,0,0,0.333,0.333,1.333,1.666
CeddanneCRafaelaRafaelaCF,BOS,3,7,2,2,0,0,1,1,1,0.0,1,0,0.286,0.375,0.714,1.089
GabrielGRinconesJrRinconesRF,PHI,3,4,1,1,0,0,1,2,1,0.0,0,0,0.25,0.4,1.0,1.4
EmmanuelERiveraRiveraB,BAL,341,942,115,230,42,5,22,103,79,229.0,6,2,0.244,.306,0.369,.675
EmmanuelERiveraRiveraB,BAL,341,942,115,230,42,5,22,103,79,229.0,6,2,0.244,.306,0.369,.675
EddieERosarioRosarioLF,LAD,4,10,1,2,0,0,1,3,1,4.0,1,0,0.2,0.273,0.5,0.773
EguyERosarioRosarioB,SD,48,94,11,23,7,1,5,12,4,34.0,0,0,0.245,.283,0.5,.783
TommyTSaccoJrSaccoSS,HOU,2,6,1,2,0,0,1,4,0,0.0,0,0,0.333,0.333,0.833,1.166
VictorVScottIIScottLF,STL,2,5,2,3,0,1,1,3,1,1.0,0,0,0.6,0.667,1.6,2.267
JoseJSiriSiriCF,NYM,356,1087,171,228,42,6,54,136,72,425.0,43,13,0.21,.266,0.408,.674
DominicDoSmithSmithB,NYY,693,2046,237,504,121,4,64,259,170,501.0,5,5,0.246,.313,0.403,.716
JorgeJSolerSolerDH,LAA,2,4,2,3,0,0,1,4,1,1.0,0,0,0.75,0.8,1.5,2.3
JuanJSotoSotoRF,NYM,936,3280,655,934,179,15,201,592,769,696.0,57,23,0.285,.421,0.532,.953
DJDStewartStewartRF,PIT,327,845,112,179,34,0,42,118,128,271.0,5,4,0.212,.328,0.401,.729
SalSStewartStewartX,CIN,3,5,1,2,0,0,1,1,0,0.0,0,0,0.4,0.4,1.0,1.4
JosephJSullivanSullivanCF,HOU,3,5,2,1,0,0,1,2,0,2.0,0,0,0.2,0.333,0.8,1.133
LeodyLTaverasTaverasCF,TEX,475,1598,199,383,74,11,38,160,121,420.0,66,16,0.24,.293,0.371,.664
SamadSTaylorTaylorLF,SEA,3,6,3,3,1,0,1,4,0,3.0,1,0,0.5,0.5,1.167,1.667
LaneLThomasThomasCF,CLE,2,3,2,1,0,0,1,2,3,2.0,1,0,0.333,0.667,1.333,2.0
TrayceTThompsonThompsonRF,BOS,369,935,128,198,41,5,45,126,115,346.0,17,3,0.212,.300,0.411,.711
TylerTTolbertTolbertB,KC,3,6,1,2,1,0,1,1,1,3.0,0,0,0.333,0.429,1.0,1.429
AlexanderAVargasVargasB,NYY,3,4,1,2,0,0,1,1,0,1.0,0,0,0.5,0.5,1.25,1.75
IldemaroIVargasVargasB,AZ,422,1104,116,272,56,6,17,126,64,132.0,16,6,0.246,.289,0.354,.643
ZacZVeenVeenLF,COL,5,13,3,4,2,0,1,4,0,1.0,3,0,0.308,0.357,0.692,1.049
MattMWallnerWallnerRF,MIN,169,490,72,123,31,2,29,88,58,200.0,6,1,0.251,.366,0.5,.866
JJJWetherholtWetherholtDH,STL,3,6,2,2,0,0,1,3,1,2.0,1,0,0.333,0.429,0.833,1.262
ChrisCWilliamsWilliamsC,NYM,2,3,1,1,0,0,1,1,0,2.0,0,0,0.333,0.333,1.333,1.666
GageGWorkmanWorkmanB,CHC,5,12,2,4,0,0,1,4,1,3.0,0,1,0.333,0.357,0.583,0.94
RJRYeagerYeagerB,STL,4,5,4,2,0,0,1,1,1,3.0,0,0,0.4,0.5,1.0,1.5
