Player,Team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
BraydonBFisherFisherP,TOR,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
RichardRFittsFittsP,BOS,0,0,0.00,1,0,0,0,0,0,2.0,2,0,0,0,0,1,2,1.50,.286
MasonMFluhartyFluhartyP,TOR,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
KyleKFreelandFreelandP,COL,1,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,0,2,1.00,.250
ShintaroSFujinamiFujinamiP,SEA,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
KodyKFunderburkFunderburkP,MIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
ZacZGallenGallenP,AZ,0,0,9.00,1,1,0,0,0,0,1.0,1,1,1,1,0,0,2,1.00,.250
JustinJGarzaGarzaP,SF,0,0,16.20,2,0,0,0,0,0,1.2,5,3,3,0,0,1,2,3.60,.500
PaulPGervaseGervaseP,TB,0,1,16.20,2,0,0,0,0,0,1.2,2,4,3,0,0,5,2,4.20,.250
GeoffreyGGilbertGilbertP,NYY,0,1,6.75,2,0,0,0,0,0,1.1,1,1,1,0,0,2,2,2.25,.200
LoganLGillaspieGillaspieP,SD,0,0,3.00,2,0,0,0,0,0,3.0,2,1,1,0,0,2,2,1.33,.200
ConnorCGillispieGillispieP,MIA,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,1,2,0.50,.000
KevinKGinkelGinkelP,AZ,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
TylerTGlasnowGlasnowP,LAD,0,1,18.00,1,1,0,0,0,0,1.0,3,2,2,0,0,0,2,3.00,.600
TonyTGonsolinGonsolinP,LAD,0,0,0.00,1,1,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
TannerTGordonGordonP,COL,0,0,0.00,1,0,0,0,0,0,1.2,1,0,0,0,0,2,2,1.80,.167
TysonTGuerreroGuerreroP,KC,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0.00,.000
JustinJHagenmanHagenmanP,NYM,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
EmersonEHancockHancockP,SEA,0,0,5.40,1,1,0,0,0,0,1.2,3,1,1,0,0,0,2,1.80,.375
TysonTHardinHardinP,MIL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,3,2,3.00,.000
HoganHHarrisHarrisP,ATH,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,3,2,2.00,.143
GeoffGHartliebHartliebP,NYY,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
GrantGHartwigHartwigP,NYM,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
JonathanJHeasleyHeasleyP,CWS,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,1,2,2.00,.250
ClayCHelveyHelveyP,WSH,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,3,2,1.50,.000
LoganLHendersonHendersonP,MIL,0,0,0.00,1,0,0,0,0,0,1.0,2,0,0,0,0,0,2,2.00,.400
JohnJHolobetzHolobetzP,MIL,0,0,27.00,1,0,0,0,0,0,1.0,2,3,3,1,0,1,2,3.00,.400
BryanBHudsonHudsonP,MIL,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
BrandonBHughesHughesP,CHC,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,1,2,2.00,.200
TylerTJayJayP,MIL,0,0,18.00,1,0,0,0,0,0,1.0,3,2,2,0,0,1,2,4.00,.500
RyanRJenningsJenningsP,TOR,1,0,0.00,1,0,0,0,0,0,2.0,2,0,0,0,1,0,2,1.00,.250
AntonioAJimenezJimenezP,SF,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
JimmyJJoyceJoyceP,SEA,0,1,13.50,1,0,0,0,0,1,0.2,3,2,1,0,0,0,2,4.50,.600
TylerTKinleyKinleyP,COL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
AustinAKitchenKitchenP,SEA,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0.00,.000
JaredJKoenigKoenigP,MIL,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,1,0,1,2,2.00,.250
StephenSKolekKolekP,SD,0,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,0,2,1.00,.250
RonanRKoppKoppP,LAD,0,0,5.40,2,0,0,0,0,0,1.2,1,1,1,0,0,4,2,3.00,.200
BenBKudrnaKudrnaP,KC,0,0,0.00,1,0,0,0,0,0,2.0,3,0,0,0,0,0,2,1.50,.333
JoelJKuhnelKuhnelP,PHI,0,0,10.80,2,0,0,0,0,0,1.2,3,2,2,0,0,1,2,2.40,.375
AndryALaraLaraP,WSH,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
JohnathanJLavalleeLavalleeP,TOR,0,0,0.00,1,0,0,0,0,0,1.1,1,0,0,0,0,1,2,1.50,.200
CodyCLawerysonLawerysonP,MIN,0,0,0.00,1,0,0,0,1,1,1.0,0,0,0,0,0,0,2,0.00,.000
ChaseCLeeLeeP,DET,0,0,4.50,2,0,0,0,0,0,2.0,3,1,1,1,0,0,2,1.50,.333
JackJLeftwichLeftwichP,CLE,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
JacobJLopezLopezP,ATH,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,1,2,0.50,.000
RyanRLoutosLoutosP,STL,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
SethSLugoLugoP,KC,1,0,13.50,1,1,0,0,0,0,2.0,4,3,3,1,0,0,2,2.00,.400
DanielDLynchIVLynchP,KC,0,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,0,2,1.00,.250
ReynaldoRLpezLpezP,ATL,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,1,2,1.00,.143
TylerTMahleMahleP,TEX,0,1,9.00,1,1,0,0,0,0,2.0,4,2,2,1,0,0,2,2.00,.400
MattMManningManningP,DET,0,0,20.25,1,0,0,0,0,0,1.1,3,3,3,0,0,4,2,5.25,.429
DavisDMartinMartinP,CWS,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
RileyRMartinMartinP,CHC,1,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
ZebbyZMatthewsMatthewsP,MIN,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
DarrenDMcCaughanMcCaughanP,MIN,0,0,4.50,1,0,0,0,0,1,2.0,3,1,1,0,0,0,2,1.50,.375
GriffGMcGarryMcGarryP,PHI,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,0,2,2.00,.400
ScottSMcGoughMcGoughP,AZ,0,0,18.00,1,0,0,0,0,0,1.0,3,2,2,0,0,1,2,4.00,.500
JulianJMerryweatherMerryweatherP,CHC,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,1,2,1.00,.143
LuisLMeyMeyP,CIN,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,1,0,2,1.00,.250
AndrewAMisiaszekMisiaszekP,CLE,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,2,2,3.00,.250
BrockBMooreMooreP,SEA,0,0,27.00,1,0,0,0,0,0,0.2,0,2,2,0,1,2,2,3.00,.000
PennPMurfeeMurfeeP,CWS,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
GermnGMrquezMrquezP,COL,0,0,0.00,1,1,0,0,0,0,2.0,0,0,0,0,0,2,2,1.00,.000
BrandonBNeeckNeeckP,LAD,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,2,2,3.00,.250
BradenBNettNettP,SD,0,0,13.50,1,1,0,0,0,0,2.0,2,3,3,0,2,1,2,1.50,.286
DougDNikhazyNikhazyP,CLE,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0.00,.000
VinnyVNittoliNittoliP,MIL,0,0,4.50,2,0,0,0,0,0,2.0,2,1,1,0,1,0,2,1.00,.250
RyanROchOchP,SD,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
StevenSOkertOkertP,HOU,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
HelcrisHOlivarezOlivarezP,SF,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
RobinsonROrtizOrtizP,LAD,0,0,4.50,2,0,0,0,0,0,2.0,0,1,1,0,0,2,2,1.00,.000
DanielDPalenciaPalenciaP,CHC,0,0,9.00,2,0,0,0,0,0,2.0,2,2,2,0,0,1,2,1.50,.286
JoelJPegueroPegueroP,SF,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
FrancisFPenaPenaP,SD,0,0,4.50,2,0,0,0,0,0,2.0,2,1,1,1,0,1,2,1.50,.250
LuisLPeraltaPeraltaP,COL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
JackJPerkinsPerkinsP,ATH,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,1,2,0.50,.000
AndersonAPilarPilarP,ATL,0,0,13.50,1,0,0,0,0,0,0.2,2,1,1,0,0,0,2,3.00,.500
ColinCPochePocheP,WSH,1,0,27.00,1,0,0,0,0,1,1.0,4,3,3,1,0,2,2,6.00,.571
DrewDPomeranzPomeranzP,SEA,0,0,0.00,2,0,0,0,0,0,2.0,2,0,0,0,0,0,2,1.00,.250
MichaelMProseckyProseckyP,COL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
AJAPukPukP,AZ,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
MattMPushardPushardP,MIA,0,0,0.00,2,0,0,0,1,1,2.0,0,0,0,0,0,0,2,0.00,.000
ColeCRagansRagansP,KC,0,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,1,2,1.50,.286
MaxMRajcicRajcicP,STL,0,0,4.50,1,0,0,0,0,1,2.0,2,1,1,0,0,1,2,1.50,.286
YohanYRamrezRamrezP,PIT,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
TaylorTRashiRashiP,AZ,0,0,4.50,2,0,0,0,0,1,2.0,2,1,1,0,0,0,2,1.00,.250
EricEReyzelmanReyzelmanP,NYY,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,0,2,2.00,.400
EthanERobertsRobertsP,CHC,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,1,2,2.00,.250
YarielYRodrguezRodriguezP,TOR,0,0,13.50,1,1,0,0,0,0,1.1,3,2,2,0,0,2,2,3.75,.429
RandyRRodrguezRodrguezP,SF,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
TaylorTRogersRogersP,CIN,0,0,0.00,1,0,0,0,0,0,1.0,2,0,0,0,0,0,2,2.00,.400
RyanRRolisonRolisonP,COL,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0.00,.000
EnnyERomeroRomeroP,SF,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
TonyTSantillanSantillanP,CIN,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,1,2,2.00,.250
FrankieFScalzoJrScalzoP,CHC,0,0,4.50,2,0,0,0,0,0,2.0,1,1,1,0,0,2,2,1.50,.143
CamCSchlittlerSchlittlerP,NYY,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,1,2,1.00,.143
WillWSchombergSchombergP,MIA,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,1,2,2.00,.250
SpencerSSchwellenbachSchwellenbachP,ATL,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
TannerTanScottScottP,LAD,0,0,18.00,1,0,0,0,0,0,1.0,1,2,2,1,1,1,2,2.00,.250
AntonioASenzatelaSenzatelaP,COL,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0.00,.000
CarsonCSeymourSeymourP,SF,0,0,9.00,1,0,0,0,0,0,2.0,4,2,2,0,0,0,2,2.00,.400
BryanBShawShawP,CIN,1,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
ChasenCShreveShreveP,ATL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
AnthonyASimonelliSimonelliP,KC,0,0,0.00,2,0,0,0,1,1,2.0,2,0,0,0,0,1,2,1.50,.286
CollinCSniderSniderP,SEA,0,0,18.00,1,0,0,0,0,0,1.0,2,2,2,2,0,0,2,2.00,.333
GregoryGSotoSotoP,BAL,0,0,18.00,1,0,0,0,0,0,1.0,3,2,2,0,0,0,2,3.00,.500
GabeGSpeierSpeierP,SEA,1,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,0,2,2.00,.500
JeffreyJSpringsSpringsP,ATH,0,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,0,2,1.00,.286
JoshJStaumontStaumontP,CIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
JustinJSternerSternerP,ATH,0,0,0.00,2,0,0,0,0,0,1.1,3,0,0,0,0,0,2,2.25,.500
RobertRStockStockP,BOS,0,0,13.50,2,0,0,0,0,0,2.0,3,3,3,0,0,2,2,2.50,.333
KadeKStrowdStrowdP,BAL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,2,2,2.00,.000
MitchellMStumpoStumpoP,AZ,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
JosJSuarezSuarezP,LAA,0,0,4.50,1,0,0,0,0,0,2.0,2,1,1,1,0,0,2,1.00,.250
RyanRSubletteSubletteP,LAD,1,0,0.00,2,0,0,0,0,0,1.1,1,0,0,0,0,0,2,0.75,.200
JarlinJSusanaSusanaP,WSH,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,2,2,3.00,.250
BrentBSuterSuterP,CIN,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
JamesonJTaillonTaillonP,CHC,0,0,4.50,1,1,0,0,0,0,2.0,2,1,1,1,0,0,2,1.00,.250
MisaelMTamarezTamarezP,HOU,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
CalebCThielbarThielbarP,CHC,0,0,18.00,1,0,0,0,0,0,1.0,2,2,2,1,0,1,2,3.00,.400
AndersATolhurstTolhurstP,TOR,1,0,4.50,1,0,0,0,0,1,2.0,4,1,1,1,0,0,2,2.00,.400
MichaelMTonkinTonkinP,MIN,0,0,13.50,2,0,0,0,0,1,2.0,4,3,3,1,0,1,2,2.50,.400
JustinJTopaTopaP,MIN,0,0,4.50,2,0,0,0,0,0,2.0,4,1,1,0,0,0,2,2.00,.400
CayneCUeckertUeckertP,CHC,0,0,0.00,2,0,0,0,0,0,1.1,1,0,0,0,0,0,2,0.75,.250
MiguelMUllolaUllolaP,HOU,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,2,2,2.00,.000
GusGVarlandVarlandP,CWS,0,0,18.00,1,0,0,0,0,0,1.0,2,2,2,0,0,2,2,4.00,.400
AnthonyAVenezianoVenezianoP,MIA,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,1,2,0.50,.000
AustinAVernonVernonP,TB,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
RandyRVsquezVsquezP,SD,0,0,4.50,1,1,0,0,0,0,2.0,5,1,1,0,0,0,2,2.50,.500
MattMWaldronWaldronP,SD,1,0,4.50,1,1,0,0,0,0,2.0,2,1,1,0,0,0,2,1.00,.250
JacobJWallaceWallaceP,KC,0,0,0.00,1,0,0,0,1,1,1.0,0,0,0,0,0,1,2,1.00,.000
AustinAWarrenWarrenP,NYM,0,0,9.00,2,0,0,0,0,0,2.0,1,2,2,1,0,2,2,1.50,.167
GregGWeissertWeissertP,BOS,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
BrendanBWhiteWhiteP,DET,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
ForrestFWhitleyWhitleyP,HOU,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
JordanJWicksWicksP,CHC,0,0,0.00,1,1,0,0,0,0,2.0,3,0,0,0,0,0,2,1.50,.333
ColeCWilcoxWilcoxP,TB,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
AmosAWillinghamWillinghamP,ATL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
JoshJWinckowskiWinckowskiP,BOS,0,0,18.00,1,0,0,0,0,0,1.0,3,2,2,0,0,0,2,3.00,.500
JadenJWoodsWoodsP,PIT,0,0,18.00,1,0,0,0,0,0,1.0,1,2,2,1,0,2,2,3.00,.250
JustinJWrobleskiWrobleskiP,LAD,0,0,6.00,2,0,0,0,0,0,3.0,3,2,2,1,0,0,2,1.00,.250
YoshinobuYYamamotoYamamotoP,LAD,0,0,0.00,1,1,0,0,0,0,1.2,3,0,0,0,0,0,2,1.80,.375
CraigCYohoYohoP,MIL,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
AlexAYoungYoungP,CIN,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
BrandonBYoungYoungP,BAL,0,0,0.00,1,0,0,0,0,0,2.0,2,0,0,0,0,0,2,1.00,.286
YosverYZuluetaZuluetaP,CIN,0,0,27.00,1,0,0,0,0,0,1.0,2,3,3,1,0,1,2,3.00,.400
DaisonDAcostaAcostaP,WSH,0,0,27.00,1,0,0,0,0,0,1.0,1,3,3,1,0,2,1,3.00,.250
JoseJAdamesAdamesP,BOS,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0,1,0,1,0.00,.000
SandySAlcantaraAlcantaraP,MIA,0,0,0.00,1,1,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.250
PeytonPAlfordAlfordP,SEA,0,0,81.00,1,0,0,0,0,1,0.1,2,3,3,0,0,2,1,12.00,.667
LoganLAllenAllenP,CLE,0,0,4.50,1,0,0,0,0,1,2.0,1,1,1,1,0,0,1,0.50,.143
GrantGAndersonAndersonP,MIL,0,0,40.50,1,0,0,0,0,0,0.2,2,3,3,0,0,2,1,6.00,.500
IanIAndersonAndersonP,ATL,0,1,5.40,1,1,0,0,0,0,1.2,1,1,1,0,0,3,1,2.40,.167
JackJAndersonAndersonP,BOS,0,0,0.00,1,0,0,0,0,0,0.2,2,0,0,0,0,0,1,3.00,.500
NickNAndersonAndersonP,STL,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,1,0,0,1,1.00,.250
RomanRAngeloAngeloP,AZ,0,0,27.00,1,0,0,0,0,0,1.0,2,3,3,0,0,4,1,6.00,.400
LuarbertLAriasAriasP,MIA,0,1,47.25,2,0,0,0,0,1,1.1,4,8,7,1,1,5,1,6.75,.500
MichaelMAriasAriasP,NYY,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.250
JustinJArmbruesterArmbruesterP,BAL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
AaronAAshbyAshbyP,MIL,0,1,54.00,1,1,0,0,0,0,0.2,3,4,4,0,0,2,1,7.50,.600
GrahamGAshcraftAshcraftP,CIN,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,1,0.50,.143
KeyshawnKAskewAskewP,TB,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,2,1,1.50,.143
LakeLBacharBacharP,MIA,0,0,4.50,2,0,0,0,0,0,2.0,1,1,1,0,1,1,1,1.00,.167
HenryHBaezBaezP,SD,0,0,0.00,1,0,0,0,0,0,0.2,1,0,0,0,0,2,1,4.50,.333
AlecABakerBakerP,AZ,0,0,27.00,1,0,0,0,0,0,0.2,3,2,2,0,0,0,1,4.50,.750
BryanBBakerBakerP,BAL,0,0,0.00,2,0,0,0,1,1,2.0,0,0,0,0,0,0,1,0.00,.000
ScottSBarlowBarlowP,CIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
MasonMBarnettBarnettP,ATH,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,2,1,2.00,.000
EduardEBazardoBazardoP,SEA,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,1,1,2.00,.250
AndrewABechtoldBechtoldP,PHI,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,1,1,3.00,.000
TristanTBeckBeckP,SF,0,0,9.00,1,0,0,0,0,0,2.0,4,2,2,0,0,1,1,2.50,.400
IanIBedellBedellP,STL,0,1,9.00,1,0,0,0,0,0,1.0,1,1,1,0,0,2,1,3.00,.250
DavidDBednarBednarP,PIT,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,0,1,2.00,.400
PrelanderPBerroaBerroaP,CWS,0,0,54.00,1,0,0,0,0,0,0.1,3,2,2,1,0,1,1,12.00,.750
JakeJBirdBirdP,COL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,1.00,.000
RonelRBlancoBlancoP,HOU,0,0,20.25,1,1,0,0,0,0,1.1,5,3,3,1,0,0,1,3.75,.556
ScottSBlewettBlewettP,MIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,1.00,.000
GageGBoehmBoehmP,SEA,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,1,0.00,.000
RodneyRBooneBooneP,CLE,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
RyanRBoruckiBoruckiP,PIT,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,3,1,3.00,.000
CalebCBoushleyBoushleyP,TEX,0,0,18.00,1,0,0,0,0,0,1.0,3,3,2,0,0,1,1,4.00,.500
RyanRBrasierBrasierP,CHC,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
JeffJBrighamBrighamP,AZ,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,0,1,0.50,.143
JhonyJBritoBritoP,SD,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
ConnorCBrogdonBrogdonP,LAA,0,0,40.50,1,0,0,0,0,0,0.2,3,3,3,2,0,1,1,6.00,.600
ZachZBrzykcyBrzykcyP,WSH,0,0,27.00,1,0,0,0,0,0,0.2,2,2,2,1,0,2,1,6.00,.500
GarrettGBurhennBurhennP,DET,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.250
BrockBBurkeBurkeP,LAA,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,1.00,.000
MikeMBurrowsBurrowsP,PIT,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,1.00,.000
AlanABusenitzBusenitzP,CIN,0,1,40.50,1,0,0,0,0,1,0.2,3,3,3,1,0,0,1,4.50,.600
JoseJCabreraCabreraP,AZ,0,1,27.00,1,0,0,0,0,0,1.0,2,3,3,1,0,1,1,3.00,.400
NoahNCameronCameronP,KC,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,0,1,0.50,.167
YennierYCanoCanoP,BAL,1,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
MattMCanterinoCanterinoP,MIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,3,1,3.00,.000
JuanJCarelaCarelaP,CWS,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,1,0.00,.000
CarlosCCarrascoCarrascoP,NYY,0,0,4.50,1,1,0,0,0,0,2.0,2,1,1,1,1,0,1,1.00,.250
BenBCaspariusCaspariusP,LAD,0,0,7.71,2,0,0,0,0,0,2.1,3,2,2,1,0,1,1,1.71,.333
LuisFLCastilloCastilloP,SEA,0,0,27.00,1,0,0,0,0,0,0.2,3,2,2,0,0,1,1,6.00,.600
LuisLCastilloCastilloP,SEA,1,0,0.00,1,1,0,0,0,0,1.2,2,1,0,0,0,1,1,1.80,.222
KervinKCastroCastroP,NYY,0,0,0.00,1,0,0,0,0,0,1.0,2,0,0,0,0,1,1,3.00,.500
ManuelMCastroCastroP,SD,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0.00,.000
YordinYChalasChalasP,AZ,0,1,0.00,1,0,0,0,0,0,1.0,1,1,0,0,0,0,1,1.00,.250
BubbaRChandlerChandlerP,PIT,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,0,0,1,1,2.00,.333
JTJChargoisChargoisP,TEX,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.250
JesseJChavezChavezP,TEX,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.250
WillMChildersChildersP,MIL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,1.00,.000
HaroldHChirinoChirinoP,SD,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,0,1,0.50,.167
MarcMChurchChurchP,TEX,0,0,18.00,1,0,0,0,0,0,1.0,2,2,2,0,0,1,1,3.00,.500
TaylorTClarkeClarkeP,KC,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,1,1,1.00,.167
NolanNClenneyClenneyP,CHC,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0.00,.000
DylanDColemanColemanP,BAL,0,0,18.00,1,0,0,0,0,0,1.0,2,2,2,1,0,2,1,4.00,.500
BillyWCorcoranCorcoranP,AZ,0,0,18.00,1,0,0,0,0,0,1.0,1,2,2,1,0,1,1,2.00,.250
ChrisCCortezCortezP,LAA,0,0,40.50,1,0,0,0,0,0,0.2,2,3,3,0,1,2,1,6.00,.500
NabilNCrismattCrismattP,PHI,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,1,0.50,.143
OmarOCruzCruzP,SD,0,0,0.00,2,0,0,0,0,0,3.0,3,0,0,0,0,0,1,1.00,.273
JoseJCuasCuasP,PHI,0,0,13.50,2,0,0,0,1,1,2.0,3,3,3,0,2,0,1,1.50,.375
LuisLCurveloCurveloP,TEX,0,1,9.00,1,0,0,0,0,0,1.0,0,1,1,0,0,2,1,2.00,.000
CadenCDanaDanaP,LAA,0,0,16.20,1,0,0,0,0,1,1.2,3,3,3,0,1,2,1,3.00,.429
DavisDDanielDanielP,ATL,0,0,0.00,1,0,0,0,1,1,2.0,0,0,0,0,0,1,1,0.50,.000
AaronADavenportDavenportP,CLE,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.250
