Player,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
119SalS FrelickFrelickRF119‌‌‌,MIL,145,475,66,123,22,4,2,32,39,78,18,3,.259,.320,.335,.655
121AlexA VerdugoVerdugoLF121‌‌‌,NYY,149,559,74,130,28,1,13,61,49,93,2,1,.233,.291,.356,.647
121JacobJ YoungYoungCF121‌‌‌,WSH,150,468,75,120,24,1,3,36,30,102,33,10,.256,.316,.331,.647
123JakeJ MeyersMeyersCF123‌‌‌,HOU,148,461,51,101,20,3,13,61,35,117,11,3,.219,.286,.360,.646
124LeodyL TaverasTaverasCF124‌‌‌,TEX,151,480,59,110,17,3,12,44,42,112,23,6,.229,.289,.352,.641
125AndrésA GimenezGiménez2B125‌‌‌,CLE,152,583,64,147,22,1,9,63,26,97,30,5,.252,.298,.340,.638
126ChristopherC MorelMorel2B126‌‌‌,TB,152,535,56,105,11,3,21,60,61,159,8,7,.196,.288,.346,.634
127ZackZ GelofGelof2B127‌‌‌,OAK,138,497,60,105,20,2,17,49,38,188,25,3,.211,.270,.362,.632
128OrlandoO ArciaArciaSS128‌‌‌,ATL,157,551,50,120,24,0,17,46,41,128,2,0,.218,.271,.354,.625
129MaikelM GarciaGarcia3B129‌‌‌,KC,157,575,84,133,27,5,7,58,42,103,37,2,.231,.281,.332,.613
